TargetName	S1	S2	S3	S4
AGTR2	22	21	39	14
AGTRAP	22	32	17	12
AGXT	21	21	23	15
AGXT2	15	23	13	15
AHCTF1,AHCTF1P1	49	49	53	57
AHCY	63	65	61	71
AHCYL1	85	104	75	78
AHCYL2	20	29	27	24
AHDC1	34	57	75	61
AHI1	42	39	35	28
AHNAK	28	33	22	26
AHNAK2	22	33	41	24
AHR	11	33	24	24
AHRR	5	20	30	14
AHSA1	99	86	109	59
AHSG	11	28	16	22
AHSP	47	43	45	29
AICDA	6	15	16	12
AIDA	57	82	81	69
AIF1	12	24	17	15
AIF1L	23	38	14	43
AIFM1	27	37	29	15
AIFM2	25	28	28	26
AIFM3	17	31	17	26
AIG1	31	24	45	23
AIM2	13	22	30	11
AIMP1	45	52	42	32
AIMP2	22	34	19	13
AIP	16	42	43	28
AIPL1	14	25	24	15
AIRE	19	32	26	20
AJAP1	20	33	58	19
AJM1	23	39	57	24
AJUBA	28	49	26	33
AK1	30	51	68	44
AK2	47	53	47	44
AK3	73	56	49	58
AK4	46	66	32	51
AK5	19	36	34	18
AK6	36	34	25	14
AK7	20	29	47	28
AK8	22	30	30	13
AK9	45	44	38	35
AKAIN1	12	23	19	18
AKAP1	37	47	66	22
AKAP10	22	37	29	22
AKAP11	56	86	148	63
AKAP12	72	112	48	73
AKAP13	27	27	69	24
AKAP14	2	17	9	5
AKAP17A	22	32	22	26
AKAP3	11	19	13	15
AKAP4	17	14	23	17
AKAP5	19	38	26	15
AKAP6	44	87	84	51
AKAP7	41	41	115	24
AKAP8	9	6	3	2
AKAP8L	76	95	85	64
AKAP9	48	62	87	42
AKIP1	29	38	36	32
AKIRIN1	51	58	85	45
AKIRIN2	57	101	90	96
AKNA	48	47	34	32
AKNAD1	14	21	16	12
AKR1A1	75	74	68	48
AKR1B1	45	79	74	79
AKR1B10,AKR1B15	17	19	19	16
AKR1C1,AKR1C2	13	40	34	18
AKR1C3	24	57	73	25
AKR1C4	8	23	14	13
AKR1D1	14	14	14	6
AKR1E2	24	40	83	24
AKR7A2	18	19	20	29
AKR7A3	25	35	29	30
AKR7L	17	20	10	21
AKT1	86	66	82	75
AKT1S1	27	38	32	37
AKT2	105	71	84	73
AKT3	142	180	387	130
AKTIP	25	50	43	19
ALAD	14	27	33	19
ALAS1	14	34	22	23
ALAS2	6	26	15	15
ALB	20	30	21	20
ALCAM	32	42	114	20
ALDH16A1	19	20	15	15
ALDH18A1	41	39	39	33
ALDH1A1	17	30	21	22
ALDH1A2	18	25	20	12
ALDH1B1	38	38	42	32
ALDH1L1	22	26	16	17
ALDH1L2	30	38	15	21
ALDH2	52	66	61	61
ALDH3A1	11	33	23	9
ALDH3A2	87	63	63	49
ALDH3B1	9	22	20	9
ALDH3B2	30	58	42	41
ALDH4A1	30	27	25	16
ALDH5A1	14	24	21	23
ALDH6A1	38	47	22	28
ALDH7A1	33	61	35	43
ALDH8A1	12	33	23	12
ALDH9A1	53	57	31	33
ALDOB	24	29	27	22
ALDOC	41	47	29	38
ALG10	16	31	18	16
ALG10B	52	72	50	57
ALG11,UTP14A,UTP14C	62	49	49	21
ALG12	45	41	51	31
ALG13	24	51	37	21
ALG14	33	27	31	17
ALG1L	34	42	38	31
ALG1L2	36	39	27	25
ALG2	27	38	22	28
ALG3	18	20	19	16
ALG5	36	55	38	42
ALG6	22	47	41	26
ALG8	15	34	24	17
ALG9	51	60	41	38
ALK	9	26	18	17
ALKAL1	9	13	9	6
ALKAL2	11	19	14	13
ALKBH1	20	22	20	13
ALKBH2	25	61	33	45
ALKBH3	29	45	25	27
ALKBH4	25	39	31	30
ALKBH5	54	126	63	76
ALKBH6	16	20	25	16
ALKBH7	50	48	57	38
ALKBH8	21	33	32	24
ALLC	13	33	15	19
ALMS1	116	87	64	71
ALOX12	10	28	23	17
ALOX15	14	29	20	27
ALOX15B	18	24	20	23
ALOX5	16	41	22	19
ALOX5AP	17	37	27	21
ALOXE3	16	29	22	14
ALPG	16	29	14	11
ALPI	14	42	16	25
ALPK1	5	20	22	25
ALPK2	15	10	7	17
ALPK3	11	33	16	18
ALPL	24	24	36	18
ALPP	8	35	14	10
ALS2	33	50	65	42
ALS2CL	13	21	29	11
ALX1	11	19	17	11
ALX3	6	13	12	20
ALX4	20	44	23	14
ALYREF	65	68	36	64
AMBN	26	22	10	16
AMBP	15	34	22	24
AMBRA1	52	85	80	62
AMD1	71	85	94	57
AMDHD1	12	17	14	15
AMELX	17	20	16	9
AMELY	10	14	22	15
AMER1	37	56	39	22
AMER2	45	62	92	68
AMER3	12	23	33	34
AMFR	73	75	91	57
AMH	19	37	38	18
AMHR2	18	27	20	16
AMIGO1	18	25	24	26
AMIGO2	23	21	59	13
AMIGO3	20	21	17	17
AMMECR1	26	28	25	24
AMMECR1L	31	36	30	29
AMN	15	25	18	9
AMN1	29	36	45	22
AMOT	38	57	27	36
AMOTL1	56	61	27	56
AMOTL2	63	101	92	87
AMPD1	22	26	24	24
AMPD2	27	41	76	32
AMPD3	24	17	26	18
AMPH	23	36	27	26
AMT	25	38	29	30
AMTN	9	18	18	13
AMY1C,AMY1A,AMY2A,AMY1B	56	63	49	48
AMY2B	33	51	54	40
AMZ1	23	21	21	24
AMZ2	103	109	95	101
ANAPC1	41	44	47	30
ANAPC10	42	56	38	38
